NpcNumber,Context0,Context1,Context2,Context3,Context4,Context5,Context6,Context7,Context8,Context9,Context10,Context11,Context12,Context13,Context14,Context15
0-8,1111,휴.....,이게 마지막인가,아이구 힘들다....,이제 쓰레기도 다 치웠으니 잠깐만 쉴까?
0-7,1,응......?
4-3,어허 이 놈!! 개수가 맞지 않아!,네가 빼돌린게냐?
5-0,집에 쓰레기가 많아졌다., 깨끗하게 만들어 놔.
5-1,지금 청소를 하러 가겠어?,청소를 해야할 방으로 보내줄게.
6-0,주인님이 광석을 캐오라고 하셨어.,잘 캐오면 고생했다고 포상을 내려주시지 않을까?
6-1,지금 채광장으로 이동할래?,채광장으로 보내줄게.
7-0,빨래가 밀렸답니다. 원래는 하녀가 해야 할 일입니다만..,도와주시지 않겠습니까?
7-1,정말 고맙습니다. 이 은혜는 잊지 않을게요.,지금 빨래터로 보내드리겠습니다.
8-0,??님. 마침 기다렸습니다.,주인님께서 수습대장장이에게 주문서류를 전달하고 오라고 하셨습니다.,서류를 전달한 뒤 제게 말을 걸어주세요.
8-1,??님. 마침 기다렸습니다.,주인님께서 수습상인에게 주문서류를 전달하고 오라고 하셨습니다.,서류를 전달한 뒤 제게 말을 걸어주세요.
8-2,??님. 고생하셨습니다.,주문서류는 잘 전달하고 오셨나요?
8-3,정말 안타깝습니다..,하지도 않은 일을 했다고 하는 건 비겁한 짓입니다.
8-4,고생하셨습니다!.,주인님께서 ??님의 노고를 치하해 주실겁니다.
9-0,무슨일이야?
9-1,주문 서류를 전달하러 왔다고?
9-2,지금 나랑 장난해?,주문 서류가 없잖아!
9-3,서류가 접수됐어.,주문 서류는 잘 전달 받았다고 전해줘.
10-0,??님. 마침 기다렸습니다. 오늘자 주문서류가 들어왔습니다. 물건은 제가 챙겨놨으니 물품을 노예에게 전달한 뒤 제게 말을 걸어주세요.
10-2,??님. 고생하셨습니다.,물건은 잘 전달하고 오셨나요?
10-3,정말 안타깝습니다..,하지도 않은 일을 했다고 하는 건 비겁한 짓입니다.
10-4,고생하셨습니다!.,오늘도 힘내서 일하시길 바랍니다.
11-6,33033,흠... 어떡하지...,아 안녕하세요!,무슨 일 있어?,제가 급하게 받아야 할 물건이 있는데 지금 자리를 비울 수 없어서요...,혹시 물건 좀 받아주실 수 있나요?
11-5,,그래,,싫은디,
11-4,33,오오오!!,정말 감사합니다!
11-3,3,아................
11-2,3,아! 물건을 전달하러 오셨다구요?
11-1,33,아직 안받아 오셨군요...,제가 자리를 비울 수 없어서... 부탁드립니다
11-0,3,물건을 가져와 주셔서 감사합니다ㅠㅠ
12-0,대장장이님 오셨습니까?,지금 당장 만들어야 될 제품이 있다고 들었습니다.
12-1,지금 바로 제작하러 가시겠습니까?,대장간으로 보내드리겠습니다.
13-0,국비지원 무료교육센터입니다.,무엇을 도와드릴까요?
13-1,교육을 들으러 오셨습니까?,교육장으로 보내드리겠습니다.
14-0,상인님 오셨습니까?,지금 당장 팔아야 할 제품이 있다고 들었습니다.
14-1,지금 바로 판매하러 가시겠습니까?,상점으로 보내드리겠습니다.
15-0,대상인님 오셨습니까?,지금 당장 팔아야 할 제품이 있다고 들었습니다.
15-1,지금 바로 판매하러 가시겠습니까?,상점으로 보내드리겠습니다.
16-0,대상인님 오셨습니까?,수습상인들이 기다리고 있었습니다.
16-1,상인들을 교육하러 가시겠습니까?,교육장으로 보내드리겠습니다.
17-0,명장님 오셨습니까?,지금 당장 만들어야 될 제품이 있다고 들었습니다.
17-1,지금 바로 제작하러 가시겠습니까?,대장간으로 보내드리겠습니다.
18-0,명장님 오셨습니까?,수습대장장이들이 기다리고 있었습니다.
18-1,대장장이들을 교육하러 가시겠습니까?,교육장으로 보내드리겠습니다.
